ตั้งใจทำกิจกรรมของตัวเอง ไม่รบกวนผู้อื่น,รู้จักหยุดทำเสียงดัง หยุดแหย่เพื่อน หยุดชวนเพื่อนคุย หยุดเดินไปมาในชั้นเรียน ในขณะทำกิจกรรมที่ครูมอบหมาย เช่น วาดรูป ระบายสี ปั้นดินน้ำมัน ฯลฯ
เมื่อขัดแย้งกับเพื่อน ไม่ใช้กำลังในการแก้ปัญหา,รู้จักหยุด ไม่ใช้กำลังเมื่อขัดแย้งกับเพื่อน แต่รู้จักคิดวิธีแก้ปัญหาโดยไม่ใช้ความรุนแรง เช่น เมื่อถูกเพื่อนแกล้งรู้จักให้อภัยไม่ตีเพื่อนกลับในทันที   เมื่อถูกเพื่อนแย่งของเล่น รู้จักตกลงแบ่งกันเล่น ไม่ทะเลาะกัน
จดจ่อกับกิจกรรมในชั้นเรียนที่ครูสอน,รู้จักหยุด ไม่สนใจสิ่งที่มากวนให้เสียสมาธิ เพื่อจดจ่อกับกิจกรรมในชั้นเรียน เช่น จดจ่อฟังนิทานที่ครูเล่า หรือจดจ่อกับการวาดภาพ
ทำกิจกรรมที่ครูมอบหมายเสร็จในเวลาที่กำหนด,รู้จักหยุดทำสิ่งที่ไม่เกี่ยวข้องเพื่อทำงานที่ครูมอบหมายให้เสร็จ เช่น หยุดคุย หยุดเล่น ฯลฯ ตั้งใจทำงาน
เข้าคิวรอได้ อดทนรอคอยได้,รู้จักหยุดรอให้ถึงคิวของตัวเอง เช่น เข้าคิวรับขนม อาหาร รอคิวเข้าห้องน้ำ ฯลฯ
รู้จักรอที่จะพูด ไม่พูดแทรกในขณะที่ผู้อื่นกำลังพูด,รู้จักหยุดฟังครูพูด ไม่พูดแทรก หรือหยุดรอให้ผู้ใหญ่คุยกันเสร็จก่อนแล้วจึงค่อยพูด
เมื่อต้องการของที่เพื่อนกำลังเล่นอยู่ รู้จักขออนุญาตหรือรอให้เพื่อนเล่นเสร็จก่อน,รู้จักหยุดรอให้เพื่อนเล่นเสร็จก่อน หรือเข้าไปขอเล่นด้วย ไม่แย่งของเล่นทันที
หยุดเล่นเสียงดังเมื่อครูเตือน,รู้จักหยุดเล่นเสียงดังหรือลดเสียงให้เบาลงเมื่อครูเตือน
จดจ่อกับงานที่ทำ ไม่วอกแวกง่าย,รู้จักหยุด ไม่สนใจสิ่งที่มากวนให้เสียสมาธิเพื่อจดจ่อกับกิจกรรมในชั้นเรียน แม้สิ่งแวดล้อมจะดังจอแจ
เล่นอย่างระวัง รู้จักหยุดเมื่อเห็นว่าการเล่นแรงขึ้นจนอาจบาดเจ็บหรือเกิดอันตราย,รู้จักหยุดเล่นแรงๆ หรือเล่นให้เบาลงได้เมื่อครูเตือน รู้จักระมัดระวังเมื่อการเล่นแรงจนอาจเกิดอันตราย
